Índice,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,% Dif. Año
IBEX 35®,"9.333,00","0,06%","9.363,10","9.240,80",17/02/2023,17:38:00,"13,41%"
IBEX 35® con Dividendos,"29.997,40","0,06%","30.094,20","29.700,90",17/02/2023,17:38:00,"13,92%"
IBEX MEDIUM CAP®,"13.900,00","0,14%","13.921,40","13.795,50",17/02/2023,17:38:00,"8,61%"
IBEX SMALL CAP®,"8.596,70","0,21%","8.613,50","8.518,40",17/02/2023,17:38:00,"19,64%"
IBEX 35® Bancos,"636,30","-0,25%","639,70","630,50",17/02/2023,17:38:00,"21,55%"
IBEX 35® Energía,"1.450,40","0,05%","1.453,90","1.439,70",17/02/2023,17:38:00,"2,13%"
IBEX 35® Construcción,"1.719,40","-0,52%","1.721,10","1.692,90",17/02/2023,17:38:00,"7,22%"
IBEX Gender Equality,"9.214,30","0,44%","9.234,70","9.133,90",17/02/2023,17:38:00,"14,85%"
IBEX Gender Equality Total Return,"10.566,50","0,44%","10.590,00","10.474,30",17/02/2023,17:38:00,"15,09%"
IBEX Gender Equality Net Return,"10.301,30","0,44%","10.324,20","10.211,40",17/02/2023,17:38:00,"15,04%"
IBEX TOP Dividendo®,"2.675,90","0,70%","2.680,20","2.644,70",17/02/2023,17:38:00,"5,85%"
IBEX 35® con Dividendos Netos,"24.881,00","0,06%","24.961,30","24.635,10",17/02/2023,17:38:00,"13,82%"
IBEX 35® Inverso,"1.900,70","-0,05%","1.919,50","1.894,50",17/02/2023,17:38:00,"-11,96%"
IBEX 35® Doble Inverso,"170,70","-0,12%","174,10","169,60",17/02/2023,17:38:00,"-22,97%"
IBEX 35® Inverso X3,"5.481,70","-0,16%","5.644,60","5.428,50",17/02/2023,17:38:00,"-32,64%"
IBEX 35® Inverso X5,"312,40","-0,26%","327,80","307,30",17/02/2023,17:38:00,"-48,95%"
IBEX 35® Inverso X10,"631,90","-0,55%","694,80","611,40",17/02/2023,17:38:00,"-75,63%"
IBEX 35® Doble Apalancado,"4.341,30","0,12%","4.369,30","4.255,60",17/02/2023,17:38:00,"27,96%"
IBEX 35® Doble Apalancado Bruto,"22.495,00","0,12%","22.640,10","22.050,60",17/02/2023,17:38:00,"29,09%"
IBEX 35® Doble Apalancado Neto,"18.373,40","0,12%","18.491,90","18.010,40",17/02/2023,17:38:00,"28,88%"
IBEX 35® Apalancado X3,"574,10","0,17%","579,60","557,10",17/02/2023,17:38:00,"44,14%"
IBEX 35® Apalancado Neto X3,"7.631,70","0,17%","7.705,50","7.405,70",17/02/2023,17:38:00,"45,60%"
IBEX 35® Apalancado Neto X5,"355,00","0,28%","360,70","337,50",17/02/2023,17:38:00,"84,70%"
IBEX 35® Apalancado Neto X10,"8.328,00","0,55%","8.595,40","7.508,90",17/02/2023,17:38:00,"-67,83%"
IBEX 35® Capped Net Return,"24.949,10","0,06%","25.029,60","24.702,60",17/02/2023,17:38:00,"13,82%"
IBEX 35® Impacto Div,"45,10",-,"45,10","45,10",17/02/2023,,-
IBEX 35® Volatilidad Objetivo 10% Estándar,"190,00","0,05%","190,40","188,60",17/02/2023,17:38:00,"9,20%"
IBEX 35® Volatilidad Objetivo 12% Estándar,"198,30","0,05%","198,90","196,60",17/02/2023,17:38:00,"11,09%"
IBEX 35® Volatilidad Objetivo 15% Estándar,"205,80","0,05%","206,60","203,60",17/02/2023,17:38:00,"14,27%"
IBEX 35® Volatilidad Objetivo 18% Estándar,"207,60","0,10%","208,50","204,90",17/02/2023,17:38:00,"17,16%"
IBEX 35® Volatilidad Objetivo 10% Financiado,"136,40","0,07%","136,70","135,40",17/02/2023,17:38:00,"9,12%"
IBEX 35® Volatilidad Objetivo 12% Financiado,"141,20","0,07%","141,60","139,90",17/02/2023,17:38:00,"10,83%"
IBEX 35® Volatilidad Objetivo 15% Financiado,"148,50","0,07%","149,00","146,90",17/02/2023,17:38:00,"13,79%"
IBEX 35® Volatilidad Objetivo 18% Financiado,"145,10","0,07%","145,70","143,20",17/02/2023,17:38:00,"16,92%"
VIBEX®,"14,79","3,50%","14,79","14,79",17/02/2023,,"-8,87%"
IBEX 35® Skew,"5,68","0,00%","5,68","5,68",17/02/2023,,"3,27%"
